zip3,city,state,within_250_miles_of_port,associated_ports,associated_ports_str
5,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
10,Springfield,MA,FALSE,[],
11,Springfield,MA,FALSE,[],
12,Springfield,MA,FALSE,[],
13,Springfield,MA,FALSE,[],
14,Boston,MA,TRUE,['Boston'],Boston
15,Boston,MA,TRUE,['Boston'],Boston
16,Boston,MA,TRUE,['Boston'],Boston
17,Boston,MA,TRUE,['Boston'],Boston
18,Boston,MA,TRUE,['Boston'],Boston
19,Boston,MA,TRUE,['Boston'],Boston
20,Boston,MA,TRUE,['Boston'],Boston
21,Boston,MA,TRUE,['Boston'],Boston
22,Boston,MA,TRUE,['Boston'],Boston
23,Boston,MA,TRUE,['Boston'],Boston
24,Boston,MA,TRUE,['Boston'],Boston
25,Boston,MA,TRUE,['Boston'],Boston
26,Boston,MA,TRUE,['Boston'],Boston
27,Boston,MA,TRUE,['Boston'],Boston
28,Boston,MA,TRUE,['Boston'],Boston
29,Boston,MA,TRUE,['Boston'],Boston
30,Bristol,NH,FALSE,[],
31,Bristol,NH,FALSE,[],
32,Bristol,NH,FALSE,[],
33,Bristol,NH,FALSE,[],
34,Bristol,NH,FALSE,[],
35,Bristol,NH,FALSE,[],
36,Bristol,NH,FALSE,[],
37,Bristol,NH,FALSE,[],
38,Augusta,ME,FALSE,[],
39,Augusta,ME,FALSE,[],
40,Augusta,ME,FALSE,[],
41,Augusta,ME,FALSE,[],
42,Augusta,ME,FALSE,[],
43,Augusta,ME,FALSE,[],
44,Augusta,ME,FALSE,[],
45,Augusta,ME,FALSE,[],
46,Augusta,ME,FALSE,[],
47,Augusta,ME,FALSE,[],
48,Augusta,ME,FALSE,[],
49,Augusta,ME,FALSE,[],
50,Bristol,NH,FALSE,[],
51,Bristol,NH,FALSE,[],
52,Albany,NY,FALSE,[],
53,Albany,NY,FALSE,[],
54,Albany,NY,FALSE,[],
55,Boston,MA,TRUE,['Boston'],Boston
56,Bristol,NH,FALSE,[],
57,Bristol,NH,FALSE,[],
58,Bristol,NH,FALSE,[],
59,Bristol,NH,FALSE,[],
60,Hartford,CT,FALSE,[],
61,Hartford,CT,FALSE,[],
62,Hartford,CT,FALSE,[],
63,Hartford,CT,FALSE,[],
64,Hartford,CT,FALSE,[],
65,Hartford,CT,FALSE,[],
66,Hartford,CT,FALSE,[],
67,Hartford,CT,FALSE,[],
68,Hartford,CT,FALSE,[],
69,Hartford,CT,FALSE,[],
70,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
71,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
72,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
73,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
74,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
75,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
76,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
77,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
78,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
79,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
80,Philadelphia,PA,FALSE,[],
81,Philadelphia,PA,FALSE,[],
82,Philadelphia,PA,FALSE,[],
83,Philadelphia,PA,FALSE,[],
84,Philadelphia,PA,FALSE,[],
85,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
86,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
87,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
88,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
89,Elizabeth,NJ,TRUE,['NY/NJ'],NY/NJ
100,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
101,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
102,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
103,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
104,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
105,Hartford,CT,FALSE,[],
106,Hartford,CT,FALSE,[],
107,Hartford,CT,FALSE,[],
108,Hartford,CT,FALSE,[],
109,Hartford,CT,FALSE,[],
110,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
111,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
112,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
113,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
114,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
115,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
116,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
117,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
118,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
119,Brooklyn,NY,TRUE,['NY/NJ'],NY/NJ
120,Albany,NY,FALSE,[],
121,Albany,NY,FALSE,[],
122,Albany,NY,FALSE,[],
123,Albany,NY,FALSE,[],
124,Albany,NY,FALSE,[],
125,Albany,NY,FALSE,[],
126,Albany,NY,FALSE,[],
127,Albany,NY,FALSE,[],
128,Albany,NY,FALSE,[],
129,Albany,NY,FALSE,[],
130,Syracuse,NY,FALSE,[],
131,Syracuse,NY,FALSE,[],
